Job_Title,Location,Salary,Monthly_Salary,Locality,State
Fresher 2023 | Business Analyst,"Chennai, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Video Editor,Remote,"₹8,000 - ₹12,000 a month",10000.0,Remote,Remote
Physiotherapist,"Mumbai, Maharashtra","₹12,604.66 - ₹40,233.68 a month",26419.17,Remote,Maharashtra
Online Mathematics Teacher,"Bengaluru, Karnataka",₹200 - ₹500 an hour,19250.0,Remote,Karnataka
Freelance Content Writer,Remote,"From ₹9,000 a month",19250.0,Remote,Remote
Trainee Auditor,"Mangalore, Karnataka","₹16,500 - ₹20,000 a month",18250.0,Remote,Karnataka
International Non Voice Process,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
PROBATIONARY OFFICER,"Coimbatore, Tamil Nadu","From ₹18,000 a month",19250.0,Remote,Tamil Nadu
bell Boy/Girl,"Kodaikanal, Tamil Nadu","From ₹13,000 a month",19250.0,Remote,Tamil Nadu
Game Designer - Intern,"Pune, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Business Analyst with an Experienced and Freshers also,Puducherry,Not specified,19250.0,Puducherry,Puducherry
Exam Invigilator,"Tirupati, Andhra Pradesh","₹10,000 - ₹18,000 a month",14000.0,Remote,Andhra Pradesh
HR Recruiter,Remote,"₹12,000 - ₹15,000 a month",13500.0,Remote,Remote
Digital Marketing Executives (Freshers),"Calicut, Kerala",Not specified,19250.0,Remote,Kerala
Warehouse Executive,"Manali, Chennai, Tamil Nadu","₹12,000 - ₹20,000 a month",16000.0,Manali,Tamil Nadu
Billing Executive,"Nilambur, Kerala","₹9,000 - ₹14,000 a month",11500.0,Remote,Kerala
Private Tutor,"Bengaluru, Karnataka","₹15,000 - ₹45,000 a month",30000.0,Remote,Karnataka
Customer Care Executive - Hindi Must,"Chennai, Tamil Nadu","From ₹15,000 a month",19250.0,Remote,Tamil Nadu
EDUCATION COUNSELLOR,"Thrissur, Kerala","₹15,000 - ₹25,000 a month",20000.0,Remote,Kerala
Fashion Designer,"Kolkata, West Bengal",Not specified,19250.0,Remote,West Bengal
Computer operator,"Barmer, Rajasthan",Not specified,19250.0,Remote,Rajasthan
Trainee,Remote,"₹10,000 - ₹12,000 a month",11000.0,Remote,Remote
Warehouse Associate,"Kochi, Kerala","₹14,000 - ₹14,787 a month",14393.5,Remote,Kerala
Accademic Counsellor,"Thrissur, Kerala","₹12,000 - ₹20,000 a month",16000.0,Remote,Kerala
Medical Coder Trainee,"Thiruvananthapuram, Kerala","₹15,000 - ₹25,000 a month",20000.0,Remote,Kerala
Fresh Graduate,"Talegaon Dabhade, Pune, Maharashtra","₹17,500 - ₹21,000 a month",19250.0,Talegaon Dabhade,Maharashtra
Management Trainee,"Janakpuri, Delhi, Delhi","₹18,000 - ₹25,000 a month",21500.0,Janakpuri,Delhi
Customer Service Executive,"Dharmsala, Himachal Pradesh","₹10,000 - ₹12,000 a month",11000.0,Remote,Himachal Pradesh
Delivery Drivers / Delivery Executives / Delivery Boys / Freshers,"Ahmedabad, Gujarat","Up to ₹30,000 a month",19250.0,Remote,Gujarat
Pizza hut- Team Member,"Aluva, Kerala","Up to ₹10,500 a month",19250.0,Remote,Kerala
Trainee Associate,"Karimnagar, Telangana","₹12,000 - ₹17,000 a month",14500.0,Remote,Telangana
Data Entry Executive (delhi only),"Delhi, Delhi","Up to ₹12,500 a month",19250.0,Remote,Delhi
Trainee Architect,"Delhi, Delhi","₹15,039.68 - ₹67,972.53 a month",41506.105,Remote,Delhi
Delivery Partner/Delivery Executive,"Goa, Goa","₹25,000 - ₹40,000 a month",32500.0,Remote,Goa
Research Trainee,"Mumbai, Maharashtra","₹20,000 - ₹25,000 a month",22500.0,Remote,Maharashtra
"Graphic Designer (Vesu, Surat)","Athwa, Surat, Gujarat","₹1,75,000 - ₹2,50,000 a year",212500.0,Athwa,Gujarat
Fresher required (operations),"Noida, Uttar Pradesh","₹15,000 - ₹20,000 a month",17500.0,Remote,Uttar Pradesh
"High School Teacher, IT","Himayatnagar, Hyderabad, Telangana","From ₹15,000 a month",19250.0,Himayatnagar,Telangana
Trainee Digital Marketer,Kerala,"₹5,000 - ₹7,000 a month",6000.0,Kerala,Kerala
Video Editor,"Kochi, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Wardens,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Sand plant operator(Fresher also can apply)Location- Howrah,"Howrah, West Bengal","₹15,000 - ₹17,000 a month",16000.0,Remote,West Bengal
Recruiter (0-2 YEARS),Remote,Not specified,19250.0,Remote,Remote
DSMH-HIRING-,India,"₹2,56,870 - ₹2,56,874 a year",256872.0,India,India
Option Trader,"Mumbai, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Trainee IPQA,"Baddi, Himachal Pradesh","₹1,00,000 - ₹2,00,000 a year",150000.0,Remote,Himachal Pradesh
QC (Apparel/Garment),"Tiruppur, Tamil Nadu","₹12,000 - ₹18,000 a month",15000.0,Remote,Tamil Nadu
Cashier,"Kazhakoottam, Thiruvananthapuram, Kerala","₹9,000 - ₹15,000 a month",12000.0,Kazhakoottam,Kerala
Business Development Associate,"Pune, Maharashtra","₹20,585.48 - ₹39,150.69 a month",29868.085,Remote,Maharashtra
Business Associate,"Sahibganj, Jharkhand","From ₹22,000 a month",19250.0,Remote,Jharkhand
HR Intern,Remote,"₹3,000 - ₹6,000 a month",4500.0,Remote,Remote
MEDICAL REPRESENTATIVE,"Kochi, Kerala","From ₹20,00,000 a year",19250.0,Remote,Kerala
Content Strategist & Writer,Remote,₹60 an hour,19250.0,Remote,Remote
Fresher-Bcom,"Delhi, Delhi","₹15,000 - ₹20,000 a month",17500.0,Remote,Delhi
Manager - Activation,"Tezpur, Assam",Not specified,19250.0,Remote,Assam
Business Analyst Fresher,"Goregaon, Mumbai, Maharashtra","₹1,80,000 a year",180000.0,Goregaon,Maharashtra
Non Voice Chat Process,"Badli, Delhi, Delhi","₹14,500 - ₹19,500 a month",17000.0,Badli,Delhi
General engineer trainee,"Erode, Tamil Nadu","₹15,000 - ₹22,000 a month",18500.0,Remote,Tamil Nadu
Physiotherapy Germany,"Greater Noida, Uttar Pradesh","₹2,00,000 - ₹2,50,000 a month",225000.0,Remote,Uttar Pradesh
Fresher Front End Developer,"Indore, Madhya Pradesh",Not specified,19250.0,Remote,Madhya Pradesh
Facilitator,"Ashoknagar, Madhya Pradesh","From ₹12,000 a month",19250.0,Remote,Madhya Pradesh
FRESHERS – TELECALLERS,"Hyderabad, Telangana",Not specified,19250.0,Remote,Telangana
Office Assistant,"Habra, West Bengal","₹7,000 - ₹8,000 a month",7500.0,Remote,West Bengal
PSM,"Jaipur, Rajasthan",Not specified,19250.0,Remote,Rajasthan
Management Trainee,"Delhi, Delhi","₹23,082 - ₹60,000 a month",41541.0,Remote,Delhi
Trainee Store,"Vypin, Kerala","From ₹10,000 a month",19250.0,Remote,Kerala
QC- Jr. Officer,"Pune, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Website Designer & Developer,"Namakkal, Tamil Nadu","₹1,20,000 - ₹6,00,000 a year",360000.0,Remote,Tamil Nadu
Store In-charge,"Runkata, Agra, Uttar Pradesh","From ₹13,000 a month",19250.0,Runkata,Uttar Pradesh
fresher's PUC and Graduates,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
PHP Trainee/ Fresher,"Jaipur, Rajasthan",Not specified,19250.0,Remote,Rajasthan
SEO Fresher/Trainee,"Faridabad, Haryana",Not specified,19250.0,Remote,Haryana
Operations executive,"Domlur, Bengaluru, Karnataka","₹22,000 - ₹26,000 a month",24000.0,Domlur,Karnataka
Intern - Software Development [Fresher],"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Trainee Web Developer,"Coimbatore, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Business Development,"Thane, Maharashtra","₹11,957.98 - ₹52,489.13 a month",32223.555,Remote,Maharashtra
Trainee - Quality,"Delhi, Delhi","₹17,000 - ₹35,000 a month",26000.0,Remote,Delhi
Modelling,"Mumbai, Maharashtra","₹30,000 - ₹45,000 a month",37500.0,Remote,Maharashtra
HR Intern,Remote,"₹6,086 - ₹20,000 a month",13043.0,Remote,Remote
Computer Hardware & Networking Engineer,"Kochi, Kerala","₹5,000 - ₹6,500 a month",5750.0,Remote,Kerala
Technical Marketing,"Bengaluru, Karnataka","₹4,50,000 a year",450000.0,Remote,Karnataka
Industrial Trainee - Coffee,"Kushalnagar, Karnataka",Not specified,19250.0,Remote,Karnataka
"Data Entry (Fresher), Tiruppur","Tiruppur, Tamil Nadu","₹11,000 - ₹13,000 a month",12000.0,Remote,Tamil Nadu
Staff Trainee,"Amroha, Uttar Pradesh","₹1,25,000 - ₹2,00,000 a year",162500.0,Remote,Uttar Pradesh
Video Editor in Coimbatore,"Coimbatore, Tamil Nadu","₹8,000 - ₹20,000 a month",14000.0,Remote,Tamil Nadu
Unit Coordinator,"Yadgir, Karnataka","Up to ₹20,000 a month",19250.0,Remote,Karnataka
Web Developer Trainees (Freshers),"Calicut, Kerala",Not specified,19250.0,Remote,Kerala
Office Assistant,"Kochi, Kerala","₹8,086 - ₹12,000 a month",10043.0,Remote,Kerala
Software Trainee,"Thiruvananthapuram, Kerala",Not specified,19250.0,Remote,Kerala
Trainee Executive,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Business Development Associate,"Coimbatore, Tamil Nadu","₹15,000 - ₹40,000 a month",27500.0,Remote,Tamil Nadu
Looking for Course Counsellors/Tele callers on Commission Basis,"Kayankulam, Kerala","₹20,000 - ₹80,000 a month",50000.0,Remote,Kerala
Software Trainee,"Thiruvananthapuram District, Kerala","₹5,000 - ₹8,000 a month",6500.0,Remote,Kerala
Trainee,"Perungudi, Chennai, Tamil Nadu","₹15,000 - ₹18,000 a month",16500.0,Perungudi,Tamil Nadu
Opening for Delivery Partner,"Kottayam, Kerala","From ₹20,086 a month",19250.0,Remote,Kerala
Trainee,"Coimbatore, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Service Engineer(Trainee),"Gurugram, Haryana",Not specified,19250.0,Remote,Haryana
Business Development Associate,Remote,"₹10,813.14 - ₹39,892.82 a month",25352.98,Remote,Remote
Accounting Faculty,"Tiruvalla, Kerala","₹10,000 - ₹13,000 a month",11500.0,Remote,Kerala
Production Co-ordinator,"Mumbai, Maharashtra","₹8,000 - ₹25,000 a month",16500.0,Remote,Maharashtra
Female Allocation Executive,"Kochi, Kerala","₹20,000 - ₹23,000 a month",21500.0,Remote,Kerala
Delivery Executive/Delivery Partner,"Gurugram, Haryana","₹18,000 - ₹35,000 a month",26500.0,Remote,Haryana
Electrical Assembler,"Coimbatore, Tamil Nadu","₹20,000 a month",20000.0,Remote,Tamil Nadu
Architect,"Ahmedabad, Gujarat","₹18,000 - ₹35,000 a month",26500.0,Remote,Gujarat
Sales Officer (SO),"Alleppey, Kerala","₹18,000 - ₹22,000 a month",20000.0,Remote,Kerala
Project Assistant,"Attur, Tamil Nadu","₹12,937.04 - ₹15,000.00 a month",13968.52,Remote,Tamil Nadu
Content Writer-Remote,"Calicut, Kerala","₹2,00,000 - ₹3,00,000 a year",250000.0,Remote,Kerala
Customer Relationship Executive - B2B,"Thiruvananthapuram, Kerala","₹14,000 - ₹20,000 a month",17000.0,Remote,Kerala
Office Assistant,"Kochi, Kerala","₹8,086.00 - ₹22,552.53 a month",15319.265,Remote,Kerala
Air Conditioning Technician,"Ambawadi, Ahmedabad, Gujarat","Up to ₹50,000 a month",19250.0,Ambawadi,Gujarat
FRESHER graduate (Any Field),"Jagnath Plot, Rajkot, Gujarat","₹1,20,000 - ₹3,50,000 a year",235000.0,Jagnath Plot,Gujarat
Purchase Assistant,"Tiruppur, Tamil Nadu","₹13,000 a month",13000.0,Remote,Tamil Nadu
Badminton Coach,"Bengaluru, Karnataka","From ₹20,000 a month",19250.0,Remote,Karnataka
AutoCAD Draftsman,"Gundavali, Mumbai, Maharashtra","₹10,000 - ₹20,000 a month",15000.0,Gundavali,Maharashtra
"Staff Nurse,ANM, GNM,","Chennai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,Remote,Tamil Nadu
WANTED B.E CIVIL CANDIDATES WITH CAD KNOWLEDGE,"Simmakkal, Madurai, Tamil Nadu","₹12,000 - ₹22,000 a month",17000.0,Simmakkal,Tamil Nadu
Digital Marketing Specialist,"Chandigarh, Chandigarh","₹1,80,000 - ₹3,00,000 a year",240000.0,Remote,Chandigarh
Spot Offer for Customer Support Executive,"Teynampet, Chennai, Tamil Nadu","₹11,000 - ₹17,000 a month",14000.0,Teynampet,Tamil Nadu
Associate Sales Manager,"Vashi, Navi Mumbai, Maharashtra","From ₹20,000 a month",19250.0,Vashi,Maharashtra
Assembly Line Operator,"Chennai, Tamil Nadu","₹13,000 - ₹15,000 a month",14000.0,Remote,Tamil Nadu
Field Marketing Executive,"Egmore, Chennai, Tamil Nadu","₹9,838.25 - ₹27,777.89 a month",18808.07,Egmore,Tamil Nadu
Receptionist (Female),"Navlakha, Indore, Madhya Pradesh","₹10,000 - ₹12,000 a month",11000.0,Navlakha,Madhya Pradesh
Doctor,"Bellary, Karnataka","₹20,000 - ₹25,000 a month",22500.0,Remote,Karnataka
Delivery Drivers / Delivery Executives / Delivery Boys / Freshers,"Chandigarh, Chandigarh","Up to ₹30,000 a month",19250.0,Remote,Chandigarh
Staff Nurse- Female,"Chennai, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,Remote,Tamil Nadu
Business Development Executive (BDE),"Kochi, Kerala","₹13,000 - ₹15,000 a month",14000.0,Remote,Kerala
Customer Service Representative,"Indore, Madhya Pradesh","₹10,000 - ₹15,000 a month",12500.0,Remote,Madhya Pradesh
Staff Nurse,"Kottayam, Kerala","From ₹20,000 a month",19250.0,Remote,Kerala
Female Customer Care Executive (Surat),"Surat, Gujarat","₹10,000 - ₹16,000 a month",13000.0,Remote,Gujarat
Sales Representative,"Uppal Kalan, Hyderabad, Telangana","₹10,000 - ₹15,000 a month",12500.0,Uppal Kalan,Telangana
Travel Consultant (FEMALE ONLY),"Jetalpur, Vadodara, Gujarat","₹15,000 - ₹25,000 a month",20000.0,Jetalpur,Gujarat
Digital Marketing Executive,"Zirakpur, Punjab","₹6,000 - ₹8,000 a month",7000.0,Remote,Punjab
Lead Generation Specialist,"Bengaluru, Karnataka","₹2,40,000 - ₹3,20,000 a year",280000.0,Remote,Karnataka
Assembly Technician cum Winding Technician,"Karur, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,Remote,Tamil Nadu
Business Development Associate,"Chinchwad, Pune, Maharashtra","From ₹15,000 a month",19250.0,Chinchwad,Maharashtra
డెలివరీ ఎగ్జిక్యూటివ్ / డెలివరీ భాగస్వామి,"Hyderabad, Telangana","₹18,000 - ₹35,000 a month",26500.0,Remote,Telangana
Urgent Requirements of CHEMISTRY Teacher for NEET & JEE Main level,"Pune, Maharashtra","₹3,60,000 - ₹6,00,000 a year",480000.0,Remote,Maharashtra
Digital Marketing Specialist,"Gurugram, Haryana","₹20,000 - ₹30,000 a month",25000.0,Remote,Haryana
Field Executive,"Ahmedabad, Gujarat","₹10,000 - ₹12,000 a month",11000.0,Remote,Gujarat
Telecaller Executive,"Gurugram, Haryana","₹8,000 - ₹15,000 a month",11500.0,Remote,Haryana
Bussiness Development Executive,"Ashok Nagar, Ranchi, Jharkhand","₹8,000 - ₹15,000 a month",11500.0,Ashok Nagar,Jharkhand
Inbound Banking Hindi Voice Process,"Teynampet, Chennai, Tamil Nadu","₹14,000 - ₹16,000 a month",15000.0,Teynampet,Tamil Nadu
Consultant Doctor,"Salem, Tamil Nadu","₹20,000 - ₹25,000 a month",22500.0,Remote,Tamil Nadu
Architectural Draftsperson,"Nikol, Ahmedabad, Gujarat","₹8,000 - ₹25,000 a month",16500.0,Nikol,Gujarat
Sales and Customer Service Executive,"Nungambakkam High Road, Chennai, Tamil Nadu","₹18,000 - ₹22,000 a month",20000.0,Nungambakkam High Road,Tamil Nadu
Fashion Designer(Female) as a FASHION CONSULTANT for a Retail Store,"R.S.Puram West, Tamil Nadu","From ₹12,000 a month",19250.0,Remote,Tamil Nadu
Aesthetic Surgeon,"T Nagar, Chennai, Tamil Nadu","₹45,000 - ₹50,000 a month",47500.0,T Nagar,Tamil Nadu
Robotics / STEM Trainer,"Jaipur, Rajasthan","₹1,80,000 - ₹4,80,000 a year",330000.0,Remote,Rajasthan
Diploma Mechanical Engineer - Design Engineer Trainee,"Coimbatore, Tamil Nadu","₹13,000 - ₹15,000 a month",14000.0,Remote,Tamil Nadu
Business Development Executive (BDE),"Bopal, Ahmedabad, Gujarat","₹15,000 - ₹35,000 a month",25000.0,Bopal,Gujarat
Admission Counselor/ Telecaler Executive,"Chandigarh, Chandigarh","From ₹15,000 a month",19250.0,Remote,Chandigarh
Sales Staff,"Chennai, Tamil Nadu","₹15,000 - ₹16,000 a month",15500.0,Remote,Tamil Nadu
STUDY ABROAD Admission Process Associate,"Kochi, Kerala","₹8,000 - ₹15,000 a month",11500.0,Remote,Kerala
Production Supervisor,"Rajkot, Gujarat","From ₹10,000 a month",19250.0,Remote,Gujarat
Delivery Partner/Delivery Executive,"Bhubaneswar, Orissa","₹25,000 - ₹40,000 a month",32500.0,Remote,Orissa
Software Sales Executive,"Calicut, Kerala","₹8,587.91 - ₹33,638.68 a month",21113.295,Remote,Kerala
Tele Caller Executive,"New Alipur, Kolkata, West Bengal","₹8,000 - ₹12,500 a month",10250.0,New Alipur,West Bengal
Need STUDY/TOURIST visa Councellor,"Ghumar Mandi, Ludhiana, Punjab","From ₹25,000 a month",19250.0,Ghumar Mandi,Punjab
Tele Calling Executive,"Ashoknagar, Bengaluru, Karnataka","₹15,000 - ₹20,000 a month",17500.0,Ashoknagar,Karnataka
Territory Sales Officer,"Athgaon, Guwahati, Assam","₹15,000 - ₹21,000 a month",18000.0,Athgaon,Assam
Draughtsman Mechanical,"Talawade, Pune, Maharashtra","₹10,000 - ₹18,000 a month",14000.0,Talawade,Maharashtra
Business Development Executive,"Vadodara, Gujarat","₹10,000 - ₹36,000 a month",23000.0,Remote,Gujarat
Restaurant Staff,"Vizhinjam, Thiruvananthapuram, Kerala","₹15,000 - ₹40,000 a month",27500.0,Vizhinjam,Kerala
Aesthetic Surgeon,"Visakhapatnam, Andhra Pradesh","₹45,000 - ₹50,000 a month",47500.0,Remote,Andhra Pradesh
JUNIOR ARCHITECT,"Salt Lake City, West Bengal","₹15,000 - ₹25,000 a month",20000.0,Remote,West Bengal
Delivery Partner/Delivery Executive,"Kolkata, West Bengal","₹15,000 - ₹35,000 a month",25000.0,Remote,West Bengal
Interior Designer,"Mumbai, Maharashtra","₹1,80,000 - ₹3,00,000 a year",240000.0,Remote,Maharashtra
"Inside Sales Account Manager - - Preferred from Hyderabad, TS","Hyderabad, Telangana","₹2,00,000 - ₹3,00,000 a year",250000.0,Remote,Telangana
Community Associate (Social Worker),"Kochi, Kerala","₹12,000 - ₹25,000 a month",18500.0,Remote,Kerala
Tele Marketing Executive,"Anna Nagar East, Chennai, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,Anna Nagar East,Tamil Nadu
Customer Relationship Executive (for Rajkot candidate only),"Rajkot, Gujarat","₹10,000 - ₹25,000 a month",17500.0,Remote,Gujarat
Business Development Officer,"Bengaluru, Karnataka","₹11,025.27 - ₹30,000.00 a month",20512.635,Remote,Karnataka
Delivery Executive/Delivery Partner,"Noida, Uttar Pradesh","₹18,000 - ₹35,000 a month",26500.0,Remote,Uttar Pradesh
Staff Nurse (Dermatology; Nungambakkam Chennai),"Nungambakkam, Chennai, Tamil Nadu","₹14,000 - ₹30,000 a month",22000.0,Nungambakkam,Tamil Nadu
Junior Landscape Architect,"Bengaluru, Karnataka","From ₹18,000 a month",19250.0,Remote,Karnataka
Stock Market Trader,"Gurugram, Haryana","₹50,000 - ₹2,00,000 a year",125000.0,Remote,Haryana
Sales executive-(MBA Freshers),"Kochi, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Sales Executive / Sales Manager - Real Estate,"Kochi, Kerala","₹20,000 - ₹30,000 a month",25000.0,Remote,Kerala
Junior Sales and Marketing Executive (Healthcare),"Pune, Maharashtra","₹15,000 - ₹20,000 a month",17500.0,Remote,Maharashtra
Hairdresser,"Rajarajeshwari Nagar, Bengaluru, Karnataka","₹18,000 - ₹22,000 a month",20000.0,Rajarajeshwari Nagar,Karnataka
Commis Chef,"Andheri West, Mumbai, Maharashtra","₹9,686.71 - ₹23,431.79 a month",16559.25,Andheri West,Maharashtra
Inside Sales Executive,"Vastrapur, Ahmedabad, Gujarat","₹15,000 - ₹25,000 a month",20000.0,Vastrapur,Gujarat
Site Engineer,"Nandanam, Chennai, Tamil Nadu","From ₹15,000 a month",19250.0,Nandanam,Tamil Nadu
Sales & Marketing Assistant manager,"Surat, Gujarat","₹18,000 - ₹20,000 a month",19000.0,Remote,Gujarat
Trainee,"Navadwip, West Bengal","₹10,000 - ₹12,000 a month",11000.0,Remote,West Bengal
Lead Generation Executive,"Mumbai, Maharashtra","₹10,000 - ₹13,000 a month",11500.0,Remote,Maharashtra
Sales & Marketing Assistant manager,"Mumbai, Maharashtra","₹20,000 - ₹22,000 a month",21000.0,Remote,Maharashtra
Physiotherapist,"Madurai, Tamil Nadu","₹8,086.00 - ₹29,664.21 a month",18875.105,Remote,Tamil Nadu
Site Engineer,"Pimpri-Chinchwad, Maharashtra","₹10,601.15 - ₹15,000.00 a month",12800.575,Remote,Maharashtra
Renewals Executive,"Mumbai, Maharashtra","₹10,000 - ₹13,000 a month",11500.0,Remote,Maharashtra
Electrical Engineer,"Thrissur, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Field Sales Representative,"Karvenagar, Pune, Maharashtra","₹20,000 - ₹35,000 a month",27500.0,Karvenagar,Maharashtra
Café All Rounder/Barista/Tea House Chef,"Tiruchchirappalli, Tamil Nadu","From ₹12,000 a month",19250.0,Remote,Tamil Nadu
Beauty and Massage Therapist,"Chennai, Tamil Nadu","From ₹20,000 a month",19250.0,Remote,Tamil Nadu
Back Office Executive (Operations Insurance),"Ujjain, Madhya Pradesh","₹10,500 - ₹20,000 a month",15250.0,Remote,Madhya Pradesh
Business Development Executive (Freshers & Experienced),"Chandigarh, Chandigarh",Not specified,19250.0,Remote,Chandigarh
Sales & Marketing Manager,"Kolkata, West Bengal","Up to ₹35,000 a month",19250.0,Remote,West Bengal
Sales & Marketing Officer,"Kochi, Kerala","₹15,000 - ₹18,000 a month",16500.0,Remote,Kerala
Field Sales Representative,"Bengaluru, Karnataka","₹15,000 - ₹25,000 a month",20000.0,Remote,Karnataka
